timestamp,open,high,low,close,volume
1779028860000,77994.61000000,78000.00000000,77990.93000000,78000.00000000,2.58914000
1779028920000,78000.00000000,78017.40000000,77999.99000000,78003.74000000,4.93244000
1779028980000,78003.74000000,78007.91000000,78003.73000000,78007.90000000,1.37400000
1779029040000,78007.90000000,78007.91000000,78007.90000000,78007.91000000,1.12194000
1779029100000,78007.91000000,78052.00000000,78007.91000000,78043.59000000,2.72518000
1779029160000,78043.58000000,78072.00000000,78042.47000000,78042.48000000,2.86968000
1779029220000,78042.48000000,78059.44000000,78040.00000000,78059.44000000,2.97180000
1779029280000,78059.43000000,78059.44000000,78055.91000000,78055.91000000,2.15952000
1779029340000,78055.92000000,78070.42000000,78055.91000000,78060.85000000,5.69746000
1779029400000,78060.85000000,78060.85000000,78049.91000000,78049.91000000,1.52775000
1779029460000,78049.92000000,78049.92000000,78049.91000000,78049.92000000,0.28241000
1779029520000,78049.91000000,78049.92000000,78049.90000000,78049.91000000,1.19855000
1779029580000,78049.91000000,78049.91000000,78029.71000000,78029.72000000,3.48512000
1779029640000,78029.72000000,78078.88000000,78029.71000000,78078.88000000,5.35385000
1779029700000,78079.98000000,78091.98000000,78076.38000000,78076.38000000,8.75189000
1779029760000,78076.38000000,78076.39000000,78065.12000000,78073.99000000,4.24376000
1779029820000,78074.00000000,78077.21000000,78065.66000000,78065.66000000,1.70328000
1779029880000,78065.66000000,78065.67000000,78050.71000000,78050.72000000,1.30768000
1779029940000,78050.71000000,78054.58000000,78050.71000000,78051.51000000,1.10617000
1779030000000,78051.51000000,78051.51000000,78026.43000000,78026.43000000,3.74228000
1779030060000,78026.43000000,78044.61000000,78007.91000000,78044.60000000,1.98858000
1779030120000,78044.61000000,78065.77000000,78025.33000000,78032.22000000,3.39329000
1779030180000,78032.22000000,78063.91000000,78032.22000000,78051.44000000,1.42461000
1779030240000,78051.44000000,78071.49000000,78051.43000000,78071.17000000,6.29707000
1779030300000,78071.18000000,78078.01000000,78071.17000000,78077.89000000,3.31610000
1779030360000,78077.89000000,78106.20000000,78077.88000000,78106.19000000,6.06911000
1779030420000,78106.20000000,78114.22000000,78102.72000000,78102.73000000,1.92133000
1779030480000,78102.73000000,78102.73000000,78093.05000000,78093.05000000,4.54669000
1779030540000,78093.06000000,78097.20000000,78088.42000000,78097.20000000,0.99587000
1779030600000,78097.20000000,78119.42000000,78097.20000000,78119.42000000,1.63961000
1779030660000,78119.42000000,78119.42000000,78106.25000000,78106.26000000,0.67096000
1779030720000,78106.26000000,78106.26000000,78090.66000000,78095.11000000,1.37686000
1779030780000,78095.12000000,78100.47000000,78095.11000000,78098.54000000,0.79236000
1779030840000,78098.54000000,78098.54000000,78089.46000000,78089.47000000,3.46182000
1779030900000,78089.47000000,78089.47000000,78039.99000000,78040.00000000,6.80064000
1779030960000,78040.00000000,78040.00000000,77950.00000000,77985.39000000,15.06597000
1779031020000,77985.39000000,77985.39000000,77941.96000000,77948.38000000,6.66761000
1779031080000,77948.38000000,77985.39000000,77920.76000000,77982.03000000,3.66147000
1779031140000,77982.03000000,78070.00000000,77982.03000000,78069.99000000,9.76747000
1779031200000,78070.00000000,78070.77000000,78037.04000000,78037.04000000,4.31796000
1779031260000,78037.04000000,78045.25000000,78037.04000000,78045.25000000,0.80007000
1779031320000,78045.24000000,78045.25000000,78039.13000000,78039.13000000,1.06829000
1779031380000,78039.14000000,78045.01000000,78030.91000000,78040.54000000,2.01364000
1779031440000,78040.54000000,78052.54000000,78040.53000000,78052.54000000,2.02562000
1779031500000,78052.53000000,78052.53000000,78026.34000000,78026.34000000,1.67231000
1779031560000,78026.00000000,78027.94000000,78017.96000000,78027.93000000,1.18508000
